optimize.0.log_file_path ,optimization_log.txt ,none ,Log file location
optimize.0.max_desc_iter ,20 ,none ,Max. no. continuous descent steps
optimize.0.max_gs_iter ,5 ,none ,Max. refinement iterations
optimize.0.max_iter ,200 ,none ,Maximum iterations
optimize.0.max_step ,0.06 ,none ,Initial step size
optimize.0.multirec_opt_timeout ,60 ,sec ,Multi-receiver optimization solver time
optimize.0.multirec_screen_mult ,1.25 ,none ,Multi-receiver heliostat screen fraction
optimize.0.power_penalty ,2 ,none ,Power shortage penalty
parametric.0.class_name ,Parametric Simulation ,none ,Class name
parametric.0.eff_file_name ,eff_array.csv , ,Efficiency file name
parametric.0.flux_file_name ,fluxmap.csv , ,Fluxmap file name
parametric.0.fluxmap_format ,SAM format , ,Fluxmap data dimensions
parametric.0.is_fluxmap_norm ,true , ,Normalize flux data
parametric.0.par_save_field_img ,false ,none ,Save field image
parametric.0.par_save_flux_dat ,false ,none ,Save receiver flux data
parametric.0.par_save_flux_img ,false ,none ,Save receiver flux image
parametric.0.par_save_helio ,false ,none ,Save heliostat performance data
parametric.0.par_save_summary ,false ,none ,Save performance summary information
parametric.0.sam_grid_format ,Auto spacing ,none ,SAM data grid format
parametric.0.sam_out_dir , , ,Output directory
parametric.0.upar_save_field_img ,false ,none ,Save field image (User)
parametric.0.upar_save_flux_dat ,false ,none ,Save receiver flux data (User)
parametric.0.upar_save_flux_img ,false ,none ,Save receiver flux image (User)
parametric.0.upar_save_helio ,false ,none ,Save heliostat performance data (User)
parametric.0.upar_save_summary ,false ,none ,Save performance summary info (User)
parametric.0.user_par_values , ,none ,User parametric values
receiver.0.absorber_area ,1197.7 ,m2 ,Receiver absorber area
receiver.0.absorptance ,0.94 ,none ,Receiver thermal absorptance
receiver.0.accept_ang_type ,Rectangular ,none ,Receiver acceptance angles shape
receiver.0.accept_ang_x ,360 ,deg ,Receiver horizontal acceptance angle
receiver.0.accept_ang_y ,180 ,deg ,Receiver vertical acceptance angle
receiver.0.aperture_area ,381.24 ,m2 ,Receiver aperture area
receiver.0.aperture_type ,Rectangular , ,Aperture geometry shape
receiver.0.cbdata , ,none ,Data pointer for UI page
receiver.0.class_name ,Receiver ,none ,Class name
receiver.0.curtain_radius ,10 ,m ,Particle curtain radius
receiver.0.curtain_total_height ,0 ,m ,Particle curtain total height
receiver.0.curtain_type ,Flat ,none ,Particle curtain type
receiver.0.flux_profile_type ,Uniform ,none ,Desired receiver flux profile
receiver.0.id ,0 , ,Template ID
receiver.0.is_aspect_opt ,true , ,Optimize receiver aspect ratio
receiver.0.is_enabled ,true , ,Is template enabled?
receiver.0.is_open_geom ,false , ,Limit receiver panel span angle
receiver.0.is_polygon ,false , ,Represent receiver as polygon
receiver.0.is_snout ,false , ,Is SNOUT enabled?
receiver.0.map_color ,random ,none ,Specified receiver map color
receiver.0.max_curtain_depth ,1.5 ,m ,Particle curtain entrance depth
receiver.0.max_curtain_width ,0 ,m ,Particle curtain maximum width
receiver.0.n_panels ,1 ,none ,Number of receiver panels
receiver.0.norm_curtain_height ,1 ,none ,Normalized particle curtain height
receiver.0.norm_curtain_width ,1 ,none ,Normalized particle curtain width
receiver.0.norm_heights_depths ,0.5'0.8; ,none ,Normalized troughs heights and depths
receiver.0.optical_height ,195 ,m ,Receiver optical height
